video_id,title,description,publish_date,keywords,length_seconds,views,likes,url
I7DWIpcTUtc,Հաշվեք աստիճանը | Բաժին 26.8 | Python խնդիրներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/h-WKmSTWsKSEpJrC0bh6QO
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
01:06 կոդի սկիզբ",2025-05-23 00:07:44-07:00,[],261,56,,https://youtube.com/watch?v=I7DWIpcTUtc
qSbISPUvmm0,Ֆակտորիալներ | Բաժին 26.7 | Python խնդիրներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/f-RoXF36PLLMTitL5nDZiH
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-23 00:14:40-07:00,[],191,24,,https://youtube.com/watch?v=qSbISPUvmm0
d47kQS-KMO0,Python | Բաժին 26.6 | Եռանկյան պարագիծը,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-hkX9HY9cnwSNNntlNspK
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
01:48 կոդի սկիզբ",2025-05-22 23:59:41-07:00,[],334,22,,https://youtube.com/watch?v=d47kQS-KMO0
Isgh-2uZBZI,Python | Բաժին 26.4 | Վերադարձվող արժեքով ֆունկցիաներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-hkX9HY9cnwSNNntlNspK
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-22 23:58:03-07:00,[],213,9,,https://youtube.com/watch?v=Isgh-2uZBZI
hWYA23-NkRI,Python | Բաժին 26.2 | Արգումենտով ֆունկցիաներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/a-oOjTD6Pbb4OBabsKx3sn
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:36 կոդի սկիզբ",2025-05-22 23:56:51-07:00,[],272,24,,https://youtube.com/watch?v=hWYA23-NkRI
dmU2j8PAKHk,Python | Բաժին 26.1 | Ֆունկցիաներ առանց արգումենտների,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/f-fCl32hulcnZbZKjGkVeY
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-22 23:55:27-07:00,[],183,34,,https://youtube.com/watch?v=dmU2j8PAKHk
qWmrSCd9EKU,Python | Բաժին 26.13 | Վերադարձից հետո ոչ մի գործողություն,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-aZegvU4oTfj7B7fXs9OM

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:31 կոդի սկիզբ",2025-05-22 23:53:29-07:00,[],222,35,,https://youtube.com/watch?v=qWmrSCd9EKU
KxVxjvdpabw,Python | Բաժին 26.9 | Վերադարձից հետո ոչ մի գործողություն,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-Dqcsb7zcRIkLSiPyMAd4

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:55 կոդի սկիզբ",2025-05-22 23:51:10-07:00,[],458,40,,https://youtube.com/watch?v=KxVxjvdpabw
8LW-WZ5dp8A,Python | Բաժին 26.12 | Ամենամեծ ընդհանուր բաժանարար,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/a-RELUCOR7cYLadEJgjOQI

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:59 կոդի սկիզբ",2025-05-22 23:49:34-07:00,[],362,60,,https://youtube.com/watch?v=8LW-WZ5dp8A
NVroOG_qK5g,Python | Բաժին 26.5 | Ընդհանուր բաժանարարներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/y-l0IzneHIkHhKSYNmMdnh

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

00:00 Ողջույն բոլորին
01:00 կոդի սկիզբ",2025-05-22 23:46:43-07:00,[],528,30,,https://youtube.com/watch?v=NVroOG_qK5g
4G2E6vLEd-w,Python | Բաժին 26.11 | Գրեթե հավասար է,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/g-XqLzqtadE9JAKChoQXCn

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6


00:00 Ողջույն բոլորին
00:57 կոդի սկիզբ",2025-05-22 23:44:16-07:00,[],504,43,,https://youtube.com/watch?v=4G2E6vLEd-w
nwSRfTLV5JE,Python | Բաժին 20.7 | Թվերի բաժանելիությունը,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/t-Dtc22jzWaCxovNxW6YpF

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
forms.gle/F3EtaquN8Wx6VQYG6",2025-05-19 06:22:06-07:00,[],212,89,,https://youtube.com/watch?v=nwSRfTLV5JE
rEULPvnnDzc,Python | Բաժին 5.8 | 4 թվերից մեծագույնը,"Խնդրի հղումը ՝ 
profound.academy/hy/python-introduction/4-hBvA0UCZyTEhPrRypoMc

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
forms.gle/F3EtaquN8Wx6VQYG6


00:00 ողջույններ
00:50 լուծման սկիզբ",2025-04-30 12:26:48-07:00,[],334,25,,https://youtube.com/watch?v=rEULPvnnDzc
7reADD0B9GU,Python | Բաժին 2.14 | Գրամ - տոննա,Խնդրի հղումը ՝ profound.academy/hy/python-introduction/g-EVRS4CMm2HrkXpi2Xllh,2025-04-11 08:01:39-07:00,[],131,56,,https://youtube.com/watch?v=7reADD0B9GU
-pKOa68jN5o,Python | Բաժին 2.15 | Աշակերտներն ու խնձորները 1,Խնդրի հղումը ՝ profound.academy/hy/python-introduction/a-1-LP9Pb9pRtjkEbrfnGOTV,2025-04-11 08:01:11-07:00,[],206,41,,https://youtube.com/watch?v=-pKOa68jN5o
