video_id,title,description,publish_date,keywords,length_seconds,views,likes,url
dmU2j8PAKHk,Python | Բաժին 26.1 | Ֆունկցիաներ առանց արգումենտների,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/f-fCl32hulcnZbZKjGkVeY
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-22 23:55:27-07:00,[],183,34,,https://youtube.com/watch?v=dmU2j8PAKHk
hWYA23-NkRI,Python | Բաժին 26.2 | Արգումենտով ֆունկցիաներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/a-oOjTD6Pbb4OBabsKx3sn
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:36 կոդի սկիզբ",2025-05-22 23:56:51-07:00,[],272,24,,https://youtube.com/watch?v=hWYA23-NkRI
Isgh-2uZBZI,Python | Բաժին 26.4 | Վերադարձվող արժեքով ֆունկցիաներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-hkX9HY9cnwSNNntlNspK
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-22 23:58:03-07:00,[],213,9,,https://youtube.com/watch?v=Isgh-2uZBZI
NVroOG_qK5g,Python | Բաժին 26.5 | Ընդհանուր բաժանարարներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/y-l0IzneHIkHhKSYNmMdnh

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

00:00 Ողջույն բոլորին
01:00 կոդի սկիզբ",2025-05-22 23:46:43-07:00,[],528,30,,https://youtube.com/watch?v=NVroOG_qK5g
d47kQS-KMO0,Python | Բաժին 26.6 | Եռանկյան պարագիծը,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-hkX9HY9cnwSNNntlNspK
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
01:48 կոդի սկիզբ",2025-05-22 23:59:41-07:00,[],334,22,,https://youtube.com/watch?v=d47kQS-KMO0
qSbISPUvmm0,Ֆակտորիալներ | Բաժին 26.7 | Python խնդիրներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/f-RoXF36PLLMTitL5nDZiH
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
00:38 կոդի սկիզբ",2025-05-23 00:14:40-07:00,[],191,24,,https://youtube.com/watch?v=qSbISPUvmm0
I7DWIpcTUtc,Հաշվեք աստիճանը | Բաժին 26.8 | Python խնդիրներ,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/h-WKmSTWsKSEpJrC0bh6QO
---
Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6
---
Թեմաներ՝
00:00 Ողջույն բոլորին
01:06 կոդի սկիզբ",2025-05-23 00:07:44-07:00,[],261,56,,https://youtube.com/watch?v=I7DWIpcTUtc
KxVxjvdpabw,Python | Բաժին 26.9 | Վերադարձից հետո ոչ մի գործողություն,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-Dqcsb7zcRIkLSiPyMAd4

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:55 կոդի սկիզբ",2025-05-22 23:51:10-07:00,[],458,40,,https://youtube.com/watch?v=KxVxjvdpabw
4G2E6vLEd-w,Python | Բաժին 26.11 | Գրեթե հավասար է,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/g-XqLzqtadE9JAKChoQXCn

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6


00:00 Ողջույն բոլորին
00:57 կոդի սկիզբ",2025-05-22 23:44:16-07:00,[],504,43,,https://youtube.com/watch?v=4G2E6vLEd-w
8LW-WZ5dp8A,Python | Բաժին 26.12 | Ամենամեծ ընդհանուր բաժանարար,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/a-RELUCOR7cYLadEJgjOQI

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:59 կոդի սկիզբ",2025-05-22 23:49:34-07:00,[],362,60,,https://youtube.com/watch?v=8LW-WZ5dp8A
qWmrSCd9EKU,Python | Բաժին 26.13 | Վերադարձից հետո ոչ մի գործողություն,"Խնդրի հղումը ՝ 
https://profound.academy/hy/python-introduction/v-aZegvU4oTfj7B7fXs9OM

Եթե կան խնդիրներ որոնց համար կուզեք տեսնել վիդեո-լուծումներ լրացրեք՝
https://forms.gle/zkiHGX6Xac8afNZR6

Թեմաներ՝
00:00 Ողջույն բոլորին
00:31 կոդի սկիզբ",2025-05-22 23:53:29-07:00,[],222,35,,https://youtube.com/watch?v=qWmrSCd9EKU
