index,time_range,text
1,"00:00:00,520 --> 00:00:06,839",hi and Welcome to our new chapter here
2,"00:00:02,840 --> 00:00:09,280",on random Forest so I will begin in in
3,"00:00:06,839 --> 00:00:11,200",this session to introduce what the
4,"00:00:09,280 --> 00:00:13,360",begging algorithm actually does so
5,"00:00:11,200 --> 00:00:16,039",begging is for bootstrap aggregation and
6,"00:00:13,360 --> 00:00:18,720",it's a preliminary version of the random
7,"00:00:16,039 --> 00:00:20,359",Forest but can be applied to any type of
8,"00:00:18,720 --> 00:00:21,880",machine learning model so we'll discuss
9,"00:00:20,359 --> 00:00:25,160",the basic idea of begging here in the
10,"00:00:21,880 --> 00:00:26,800",session then explain yeah that it's
11,"00:00:25,160 --> 00:00:29,599",based on wood strabbing I guess that's
12,"00:00:26,800 --> 00:00:31,840",already in the name and then we'll also
13,"00:00:29,599 --> 00:00:35,320",yeah I'm going try to understand a bit
14,"00:00:31,840 --> 00:00:37,680",more why this actually improves
15,"00:00:35,320 --> 00:00:41,960",predictive performance especially if we
16,"00:00:37,680 --> 00:00:44,039",apply bagging on top of somewhat random
17,"00:00:41,960 --> 00:00:47,079",unstable learning
18,"00:00:44,039 --> 00:00:50,680",algorithms okay so already explained the
19,"00:00:47,079 --> 00:00:54,760",name so the B and bagging is for
20,"00:00:50,680 --> 00:00:57,960",bootstrapping and the yeah egging is for
21,"00:00:54,760 --> 00:00:59,559",for aggregation so really easily easy to
22,"00:00:57,960 --> 00:01:01,920",explain how this works so the The
23,"00:00:59,559 --> 00:01:04,720",General idea is to create an ensemble
24,"00:01:01,920 --> 00:01:06,760",method it's the simplest Ensemble met
25,"00:01:04,720 --> 00:01:09,759",method out there in machine learning so
26,"00:01:06,760 --> 00:01:13,479",idea is to create multiple ml models fit
27,"00:01:09,759 --> 00:01:16,840",them on somewhat similar data generated
28,"00:01:13,479 --> 00:01:19,759",from the training data and yeah to Yeah
29,"00:01:16,840 --> 00:01:22,400",by that idea to hopefully improve their
30,"00:01:19,759 --> 00:01:24,799",productive performance somehow okay and
31,"00:01:22,400 --> 00:01:27,400",how that specifically works I'll explain
32,"00:01:24,799 --> 00:01:29,920",here for bagging and we'll see multiple
33,"00:01:27,400 --> 00:01:32,799",other instances of assemble methods like
34,"00:01:29,920 --> 00:01:36,759",boosting like stacking and so on in
35,"00:01:32,799 --> 00:01:38,240",other parts of the lecture so yeah the
36,"00:01:36,759 --> 00:01:41,159",individual machine learning models that
37,"00:01:38,240 --> 00:01:42,799",are that The Ensemble is Created from
38,"00:01:41,159 --> 00:01:44,159",they're usually called base Learners and
39,"00:01:42,799 --> 00:01:46,840",there are so-called homogeneous
40,"00:01:44,159 --> 00:01:48,759",ensembles that always use the same class
41,"00:01:46,840 --> 00:01:51,880",the same type of Bas Learners so for
42,"00:01:48,759 --> 00:01:53,479",example a cart a cart tree and that's
43,"00:01:51,880 --> 00:01:55,320",exactly what we're going to use later on
44,"00:01:53,479 --> 00:01:57,200",when we construct the random Forest but
45,"00:01:55,320 --> 00:01:59,000",they also heterogeneous orable methods
46,"00:01:57,200 --> 00:02:01,520",that can actually combine different
47,"00:01:59,000 --> 00:02:04,399",types of BAS Learners which will then
48,"00:02:01,520 --> 00:02:06,280",also usually have various degrees of
49,"00:02:04,399 --> 00:02:08,759",protective performance and that we
50,"00:02:06,280 --> 00:02:12,760",usually have to handle specifically
51,"00:02:08,759 --> 00:02:16,599",begging is a homogeneous method so we'll
52,"00:02:12,760 --> 00:02:19,400",always create similar
53,"00:02:16,599 --> 00:02:22,239",models in our bagging algorithm because
54,"00:02:19,400 --> 00:02:24,760",we'll always apply the same type of Base
55,"00:02:22,239 --> 00:02:27,760",learning algorithm on the other hand it
