index,time_range,text
1,"00:00:00,160 --> 00:00:05,480",hi Welcome to our next session here in
2,"00:00:02,879 --> 00:00:07,439",our yeah chapter on the random Forest
3,"00:00:05,480 --> 00:00:10,599",algorithm where in this session here I
4,"00:00:07,439 --> 00:00:12,920",will now truly introduce and discuss the
5,"00:00:10,599 --> 00:00:16,080",fundamentals of the random Forest
6,"00:00:12,920 --> 00:00:18,600",algorithm okay we'll understand how this
7,"00:00:16,080 --> 00:00:20,800",extends the idea of bagging we'll then
8,"00:00:18,600 --> 00:00:23,359",spend some time to understand the
9,"00:00:20,800 --> 00:00:26,560",general idea behind the decorrelation of
10,"00:00:23,359 --> 00:00:29,679",trees so the feature subsampling in the
11,"00:00:26,560 --> 00:00:31,519",ren Forest algorithm we'll discuss the
12,"00:00:29,679 --> 00:00:34,320",effect
13,"00:00:31,519 --> 00:00:36,320",of yeah um the I would say the most
14,"00:00:34,320 --> 00:00:39,200",important hyper parames of the random
15,"00:00:36,320 --> 00:00:41,079",Forest algorithm and then discuss
16,"00:00:39,200 --> 00:00:43,000",whether random Forest can actually
17,"00:00:41,079 --> 00:00:44,760",overfit answer little bit of
18,"00:00:43,000 --> 00:00:47,600",foreshadowing yes they
19,"00:00:44,760 --> 00:00:50,120",can Okay so let's start we have
20,"00:00:47,600 --> 00:00:51,760",discussed the card algorithm before so
21,"00:00:50,120 --> 00:00:54,239",classification and regression trees by
22,"00:00:51,760 --> 00:00:56,079",bran that actually has quite a few
23,"00:00:54,239 --> 00:00:58,120",appealing features it's quite
24,"00:00:56,079 --> 00:01:00,320",interoperable so it's easy to understand
25,"00:00:58,120 --> 00:01:03,359",it's easy to explain because it's a
26,"00:01:00,320 --> 00:01:06,040",simple decision tree it is invariant
27,"00:01:03,359 --> 00:01:09,240",under rank preserving Transformations so
28,"00:01:06,040 --> 00:01:11,759",as long as we keep yeah the order of
29,"00:01:09,240 --> 00:01:15,000",feature values fixed while we transform
30,"00:01:11,759 --> 00:01:17,920",them so by shifting them scaling them or
31,"00:01:15,000 --> 00:01:20,479",doing any other type of monotonous
32,"00:01:17,920 --> 00:01:23,200",transformation the the resulting model
33,"00:01:20,479 --> 00:01:24,960",the resulting decision tree will not be
34,"00:01:23,200 --> 00:01:27,079",substantially influenced by this the
35,"00:01:24,960 --> 00:01:28,439",location of the split points will vary
36,"00:01:27,079 --> 00:01:30,640",but we're basically fitting the same
37,"00:01:28,439 --> 00:01:32,960",type the same type of model model and
38,"00:01:30,640 --> 00:01:35,159",particularly the a model with the same
39,"00:01:32,960 --> 00:01:38,280",predictive power and
40,"00:01:35,159 --> 00:01:40,399",performance trees can work with cacor
41,"00:01:38,280 --> 00:01:42,240",categorical features as they can with
42,"00:01:40,399 --> 00:01:45,360",numerical features and they even can
43,"00:01:42,240 --> 00:01:49,280",work with data where there are missing
44,"00:01:45,360 --> 00:01:52,880",values present in the features Yeah by
45,"00:01:49,280 --> 00:01:54,680",using so-called surrogate splits now
46,"00:01:52,880 --> 00:01:57,600",here's a quote from hasted tipani and
47,"00:01:54,680 --> 00:02:00,399",Freedman which says trees have exactly
48,"00:01:57,600 --> 00:02:02,320",only one aspect that prevents them from
49,"00:02:00,399 --> 00:02:05,039",being an Ideal tool for predictive
50,"00:02:02,320 --> 00:02:06,920",learning not sure whether we go that far
51,"00:02:05,039 --> 00:02:09,160",but they say h they could be a bit more
52,"00:02:06,920 --> 00:02:11,520",accurate yeah they're not the most
53,"00:02:09,160 --> 00:02:14,040",powerful predictor the idea of the
54,"00:02:11,520 --> 00:02:16,840",random Forest is to basically attack
55,"00:02:14,040 --> 00:02:19,879",exactly that problem by creating a
56,"00:02:16,840 --> 00:02:21,760",begging Ensemble on top of decision
57,"00:02:19,879 --> 00:02:23,560",trees we'll see that I guess this will
58,"00:02:21,760 --> 00:02:28,720",become somewhat obvious that we'll lose
59,"00:02:23,560 --> 00:02:30,640",the inability aspect of the single tree
60,"00:02:28,720 --> 00:02:33,599",but all of these other
61,"00:02:30,640 --> 00:02:36,080",advantages of the card algorithm that
62,"00:02:33,599 --> 00:02:39,000",inherited into the random forest and we
63,"00:02:36,080 --> 00:02:41,760",will also create a usually a way
64,"00:02:39,000 --> 00:02:44,760",stronger predictor by embling in
65,"00:02:41,760 --> 00:02:48,120",comparison to using a single decision
66,"00:02:44,760 --> 00:02:50,920",tree so how does this work now we create
67,"00:02:48,120 --> 00:02:52,720",a begging Ensemble out of a bunch of
68,"00:02:50,920 --> 00:02:54,239",decision trees we have discussed how
69,"00:02:52,720 --> 00:02:56,440",that works right so I don't have to
70,"00:02:54,239 --> 00:02:59,040",repeat this year again bman when he
71,"00:02:56,440 --> 00:03:01,480",introduced that which I think was around
72,"00:02:59,040 --> 00:03:04,000",1998 eight he thought about this a
73,"00:03:01,480 --> 00:03:05,799",little bit more more deeply and he
74,"00:03:04,000 --> 00:03:08,560",wanted to figure out whether he can
75,"00:03:05,799 --> 00:03:11,560",could even improve the predictive
76,"00:03:08,560 --> 00:03:13,959",performance of such a begging Ensemble
77,"00:03:11,560 --> 00:03:17,120",further and then he figured out that the
78,"00:03:13,959 --> 00:03:19,480",correlation among the emble members
79,"00:03:17,120 --> 00:03:21,400",might actually be a problem or that to
80,"00:03:19,480 --> 00:03:23,840",State it more positively That by
81,"00:03:21,400 --> 00:03:25,599",decorrelating The Ensemble members he
82,"00:03:23,840 --> 00:03:28,519",could he could potentially improve
83,"00:03:25,599 --> 00:03:30,959",productive performance and we'll discuss
84,"00:03:28,519 --> 00:03:34,200",exactly that now here's some intuition
85,"00:03:30,959 --> 00:03:37,959",behind that how does bagging how does
86,"00:03:34,200 --> 00:03:41,040",bagging work we have our model fad and
87,"00:03:37,959 --> 00:03:44,599",our model f hat is going to be a simple
88,"00:03:41,040 --> 00:03:46,599",average across capital M base Learners
89,"00:03:44,599 --> 00:03:49,879",we already know we at least have a
90,"00:03:46,599 --> 00:03:54,000",little bit of intuition that in yeah in
91,"00:03:49,879 --> 00:03:56,560",terms of prediction error the variance
92,"00:03:54,000 --> 00:03:58,040",of such a model and that the variance
93,"00:03:56,560 --> 00:04:00,400",here of our assemble because that's what
94,"00:03:58,040 --> 00:04:03,040",we care about is made
95,"00:04:00,400 --> 00:04:05,480",yeah yeah not the best thing so if the
96,"00:04:03,040 --> 00:04:08,120",model is very unstable if it's very if
97,"00:04:05,480 --> 00:04:11,720",it has a has a large variance that's
98,"00:04:08,120 --> 00:04:13,720",usually also a that's a component in our
99,"00:04:11,720 --> 00:04:15,919",generalization error in this case we
100,"00:04:13,720 --> 00:04:18,160",actually like the variance of the
101,"00:04:15,919 --> 00:04:20,079",underlying base learning algorithm
102,"00:04:18,160 --> 00:04:22,800",because that's something we can now
103,"00:04:20,079 --> 00:04:27,320",smooth out over and that we can attack
104,"00:04:22,800 --> 00:04:29,720",and reduce but the variance of our
105,"00:04:27,320 --> 00:04:31,560",resulting Ensemble that should be
106,"00:04:29,720 --> 00:04:33,199",reasonably small if that's too high
107,"00:04:31,560 --> 00:04:36,240",that's usually large component also in
108,"00:04:33,199 --> 00:04:38,680",our generalization error now do we also
109,"00:04:36,240 --> 00:04:41,919",have an intuition how variance goes down
110,"00:04:38,680 --> 00:04:44,440",if we yeah look at some some fundamental
111,"00:04:41,919 --> 00:04:47,320",theorems of probability Theory or
112,"00:04:44,440 --> 00:04:50,600",statistics we can expect that variance
113,"00:04:47,320 --> 00:04:52,960",goes down linearly if we average out
114,"00:04:50,600 --> 00:04:54,919",over capital M random
115,"00:04:52,960 --> 00:04:56,840",variables if they are
116,"00:04:54,919 --> 00:04:58,800",independent okay if things are
117,"00:04:56,840 --> 00:05:01,560",independent let's say they are IID
118,"00:04:58,800 --> 00:05:04,479",distributed we compute their average and
119,"00:05:01,560 --> 00:05:07,840",then we look at the variance of the
120,"00:05:04,479 --> 00:05:10,400",average in comparison to the average of
121,"00:05:07,840 --> 00:05:12,880",one single random variable variance goes
122,"00:05:10,400 --> 00:05:12,880",down
123,"00:05:13,039 --> 00:05:21,240",linearly now can we
124,"00:05:16,160 --> 00:05:23,680",expect our Ensemble members here in our
125,"00:05:21,240 --> 00:05:26,039",begging Ensemble to be independent
126,"00:05:23,680 --> 00:05:28,800",likely wrong right can't really expect
127,"00:05:26,039 --> 00:05:31,240",that because our individual Ensemble
128,"00:05:28,800 --> 00:05:33,880",members me numbers will be correlated
129,"00:05:31,240 --> 00:05:36,639",and this is because our bootstrap
130,"00:05:33,880 --> 00:05:39,840",samples are um fairly similar right we
131,"00:05:36,639 --> 00:05:42,199",are sampling from the same underlying um
132,"00:05:39,840 --> 00:05:45,840",training data set the bootstrap datas
133,"00:05:42,199 --> 00:05:48,720",are um yeah fairly similar and this will
134,"00:05:45,840 --> 00:05:50,680",also make our resulting models somewhat
135,"00:05:48,720 --> 00:05:54,560",similar and
136,"00:05:50,680 --> 00:05:58,840",correlated now if that's the case how
137,"00:05:54,560 --> 00:06:01,840",about then we do um yeah more uh deeper
138,"00:05:58,840 --> 00:06:04,880",analysis of what the variance of our
139,"00:06:01,840 --> 00:06:07,160",resulting model actually is okay let's
140,"00:06:04,880 --> 00:06:09,680",let's do exactly that so just assume two
141,"00:06:07,160 --> 00:06:12,440",things so this analysis here is a little
142,"00:06:09,680 --> 00:06:15,199",bit simplified but I guess it's going to
143,"00:06:12,440 --> 00:06:16,440",be instructive anyway so I'll assume
144,"00:06:15,199 --> 00:06:18,319",that yeah and this is where I'm
145,"00:06:16,440 --> 00:06:20,639",simplifying things a little bit so this
146,"00:06:18,319 --> 00:06:23,000",here is of course a function these these
147,"00:06:20,639 --> 00:06:24,759",base Learners kind of treat them here as
148,"00:06:23,000 --> 00:06:27,880",a scalar random
