index,time_range,text
1,"00:00:00,480 --> 00:00:04,960",hello and welcome back to introduction
2,"00:00:02,320 --> 00:00:06,600",to machine learning I'm lud bman and in
3,"00:00:04,960 --> 00:00:09,519",this video I will present feature
4,"00:00:06,600 --> 00:00:12,400",importance methods for random forests
5,"00:00:09,519 --> 00:00:14,400",the basic goal will be to uh get a
6,"00:00:12,400 --> 00:00:16,880",measure on how important different
7,"00:00:14,400 --> 00:00:18,640",features are so here on the left hand
8,"00:00:16,880 --> 00:00:21,800",side for example the features of the
9,"00:00:18,640 --> 00:00:24,279",mcars data set and the higher value here
10,"00:00:21,800 --> 00:00:27,160",means that this feature is very
11,"00:00:24,279 --> 00:00:29,160",important so at the end of this uh video
12,"00:00:27,160 --> 00:00:31,119",you should understand what the goal of
13,"00:00:29,160 --> 00:00:32,840",feature importance is of course so
14,"00:00:31,119 --> 00:00:35,640",enhancing interpretability of random
15,"00:00:32,840 --> 00:00:37,719",forests and I will present two different
16,"00:00:35,640 --> 00:00:39,960",methods of computing feature importance
17,"00:00:37,719 --> 00:00:42,320",methods namely permutation feature
18,"00:00:39,960 --> 00:00:45,600",importance and feature importance based
19,"00:00:42,320 --> 00:00:45,600",on improvements in
20,"00:00:45,640 --> 00:00:50,840",Split so we will start with the
21,"00:00:47,840 --> 00:00:52,960",permutation feature importance a good
22,"00:00:50,840 --> 00:00:55,600",thing about R forests is that it
23,"00:00:52,960 --> 00:00:57,559",improves the predictive performance of
24,"00:00:55,600 --> 00:01:00,160",those individual decision trees by
25,"00:00:57,559 --> 00:01:01,960",combining them but the downside is that
26,"00:01:00,160 --> 00:01:04,119",we lose
27,"00:01:01,960 --> 00:01:07,000",interpretability feature importance
28,"00:01:04,119 --> 00:01:09,000",tries to mitigate this problem the basic
29,"00:01:07,000 --> 00:01:11,799",question that we ask ourselves in
30,"00:01:09,000 --> 00:01:14,560",permutation feature importance is how
31,"00:01:11,799 --> 00:01:17,280",much the performance decreases if a
32,"00:01:14,560 --> 00:01:20,360",feature is removed or rendered useless
33,"00:01:17,280 --> 00:01:24,280",so here in this visualization here we
34,"00:01:20,360 --> 00:01:27,280",just ignore or delete the feature column
35,"00:01:24,280 --> 00:01:29,200",length which is I hope okay as an
36,"00:01:27,280 --> 00:01:31,040",intuition but the permutation feature
37,"00:01:29,200 --> 00:01:33,680",importance doesn't really delete this
38,"00:01:31,040 --> 00:01:35,119",column but it permutes the entries of
39,"00:01:33,680 --> 00:01:37,960",this
40,"00:01:35,119 --> 00:01:41,040",column the goal is to remove the
41,"00:01:37,960 --> 00:01:44,320",associations between this feature and
