index,time_range,text
1,"00:00:00,440 --> 00:00:04,440",welcome back to introduction to machine
2,"00:00:02,159 --> 00:00:06,240",learning I'm lud bman and in this video
3,"00:00:04,440 --> 00:00:09,080",I will tell you about proximities and
4,"00:00:06,240 --> 00:00:10,639",random forests first we have to
5,"00:00:09,080 --> 00:00:13,719",understand how random forests can be
6,"00:00:10,639 --> 00:00:15,200",used to define proximities and then we
7,"00:00:13,719 --> 00:00:18,119",want to learn about how these
8,"00:00:15,200 --> 00:00:21,439",proximities can be used and for which uh
9,"00:00:18,119 --> 00:00:24,560",use cases these can be
10,"00:00:21,439 --> 00:00:28,119",used so first about Computing these
11,"00:00:24,560 --> 00:00:30,800",proximities so the goal is to compute
12,"00:00:28,119 --> 00:00:33,160",proximities between
13,"00:00:30,800 --> 00:00:35,680",observations okay so you have an
14,"00:00:33,160 --> 00:00:38,640",observation x i and an observation XJ
15,"00:00:35,680 --> 00:00:41,120",and you want to know how far they are
16,"00:00:38,640 --> 00:00:44,840",away from each other or how near they
17,"00:00:41,120 --> 00:00:48,920",are to each other so here we look at two
18,"00:00:44,840 --> 00:00:51,520",IDs one and two and at the features of
19,"00:00:48,920 --> 00:00:54,280",these observations so we are not looking
20,"00:00:51,520 --> 00:00:57,160",at the Target variables but just at the
21,"00:00:54,280 --> 00:01:00,719",features so in this case color form and
22,"00:00:57,160 --> 00:01:03,960",length and what we do here is is that
23,"00:01:00,719 --> 00:01:07,119",first we train uh random forest and
24,"00:01:03,960 --> 00:01:10,759",after training we push all observations
25,"00:01:07,119 --> 00:01:15,159",through each tree so we put or push
26,"00:01:10,759 --> 00:01:20,360",observation one through tree 1 tre2 and
27,"00:01:15,159 --> 00:01:24,520",tree3 and the same for observation two
28,"00:01:20,360 --> 00:01:27,200",goes through all three trees and then we
29,"00:01:24,520 --> 00:01:30,880",just compare the predictions of each of
30,"00:01:27,200 --> 00:01:36,079",all these trees and we count how many
31,"00:01:30,880 --> 00:01:37,159",times a tree predicts the same class for
32,"00:01:36,079 --> 00:01:38,880",those two
33,"00:01:37,159 --> 00:01:43,079",observations
34,"00:01:38,880 --> 00:01:46,560",so in this case tree
35,"00:01:43,079 --> 00:01:49,159",one predicts different Target variables
36,"00:01:46,560 --> 00:01:51,200",for observation one and two but trees
37,"00:01:49,159 --> 00:01:56,360",two and
38,"00:01:51,200 --> 00:01:58,920",three predict the same value okay so in
39,"00:01:56,360 --> 00:02:01,680",two or three cases they have the same
40,"00:01:58,920 --> 00:02:05,399",value so proximity of these two
41,"00:02:01,680 --> 00:02:07,200",observations is 2 / 3 now we can do this
42,"00:02:05,399 --> 00:02:09,599",for all the observations in the data set
43,"00:02:07,200 --> 00:02:14,000",so we have n observations in a data set
44,"00:02:09,599 --> 00:02:16,160",so we get n * n or a matrix with n * n
