index,time_range,text,google_translate,claude_translation,link
1,00:12 -> 00:12,Hey everyone!,Հե,Բարև բոլորիդ!,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
2,00:13 -> 00:16,If I had to choose just one topic that makes all of the others in,"Եթե ​​ես ստիպված լինեի ընտրել ընդամենը մեկ թեմա, որը բոլոր մյուսներին ստիպում է","Եթե ես պետք է ընտրեի միայն մեկ թեմա, որը միավորում է մնացած բոլորը",https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
3,00:16 -> 00:19,"linear algebra start to click, and which too often goes unlearned","Գծային հանրահաշիվը սկսում է սեղմել, եւ որը շատ հաճախ է հաճախակի չսովորում",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
4,00:19 -> 00:22,"the first time a student takes linear algebra, it would be this one.","Առաջին անգամ ուսանողը տանում է գծային հանրահաշիվ, դա կլինի այս մեկը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
5,00:22 -> 00:26,The idea of a linear transformation and its relation to matrices.,Գծային վերափոխման գաղափարը եւ դրա առնչությունը մատրիցների հետ:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
6,00:26 -> 00:30,"For this video, I'm just going to focus on what these transformations look like in the","Այս տեսանյութի համար ես պարզապես պատրաստվում եմ կենտրոնանալ այն բանի վրա, թե ինչպիսին են այս վերափոխումները",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
7,00:30 -> 00:35,"case of two dimensions, and how they relate to the idea of matrix vector multiplication.",Երկու հարթությունների դեպք եւ ինչպես են դրանք վերաբերում մատրիցային վեկտորի բազմապատկման գաղափարին:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
8,00:35 -> 00:39,"In particular, I want to show you a way to think about matrix","Մասնավորապես, ես ուզում եմ ձեզ ցույց տալ մի ձեւ Մատրիցայի մասին",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
9,00:39 -> 00:42,vector multiplication that doesn't rely on memorization.,"Վեկտորի բազմապատկում, որը չի ապավինում անգիր:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
10,00:43 -> 00:46,"To start, let's just parse this term, linear transformation.","Սկսելու համար եկեք պարզապես վերլուծենք այս տերմինը, գծային վերափոխումը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
11,00:47 -> 00:49,Transformation is essentially a fancy word for function.,"Փոխակերպումը, ըստ էության, ֆանտաստիկ բառ է գործառույթի համար:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
12,00:50 -> 00:53,It's something that takes in inputs and spits out an output for each one.,"Դա մի բան է, որը տեւում է մուտքերը եւ յուրաքանչյուրի համար արտահանում է ելք:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
13,00:53 -> 00:56,"Specifically, in the context of linear algebra,","Մասնավորապես, գծային հանրահաշվի համատեքստում,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
14,00:56 -> 00:59,we like to think about transformations that take in some vector and,Մենք սիրում ենք մտածել որոշ վեկտորի մեջ վերցրած վերափոխումների մասին եւ,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
15,00:59 -> 01:01,spit out another vector.,թքել մեկ այլ վեկտոր:,,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
16,01:02 -> 01:06,So why use the word transformation instead of function if they mean the same thing?,"Ուրեմն ինչու գործառույթի փոխարեն օգտագործեք բառի վերափոխումը, եթե նրանք նկատի ունենան նույնը:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
17,01:07 -> 01:11,"Well, it's to be suggestive of a certain way to visualize this input-output relation.","Դե, դա պետք է առաջարկվի այս մուտքի ելքային այս կապը պատկերացնելու որոշակի եղանակով:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
18,01:11 -> 01:15,"You see, a great way to understand functions of vectors is to use movement.","Տեսնում եք, վեկտորների գործառույթները հասկանալու հիանալի միջոց է շարժումը օգտագործելն է:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
19,01:16 -> 01:20,"If a transformation takes some input vector to some output vector,","Եթե ​​վերափոխումը որոշ ելքային վեկտորի որոշ մուտքային վեկտոր է վերցնում,",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
20,01:20 -> 01:24,we imagine that input vector moving over to the output vector.,"Մենք պատկերացնում ենք, որ մուտքային վեկտորը տեղափոխվում է ելքային վեկտոր:",,https://www.youtube.com/watch?v=kYB8IZa5AuE&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab&index=3&t=4s
