index,time_range,text,google_translate
1,"00:00:12,040 --> 00:00:12,920",Hey everyone!,Հե
2,"00:00:13,320 --> 00:00:16,276",If I had to choose just one topic that makes all of the others in,"Եթե ​​ես ստիպված լինեի ընտրել ընդամենը մեկ թեմա, որը բոլոր մյուսներին ստիպում է"
3,"00:00:16,276 --> 00:00:19,233","linear algebra start to click, and which too often goes unlearned","Գծային հանրահաշիվը սկսում է սեղմել, եւ որը շատ հաճախ է հաճախակի չսովորում"
4,"00:00:19,233 --> 00:00:22,280","the first time a student takes linear algebra, it would be this one.","Առաջին անգամ ուսանողը տանում է գծային հանրահաշիվ, դա կլինի այս մեկը:"
5,"00:00:22,700 --> 00:00:26,200",The idea of a linear transformation and its relation to matrices.,Գծային վերափոխման գաղափարը եւ դրա առնչությունը մատրիցների հետ:
6,"00:00:26,950 --> 00:00:30,981","For this video, I'm just going to focus on what these transformations look like in the","Այս տեսանյութի համար ես պարզապես պատրաստվում եմ կենտրոնանալ այն բանի վրա, թե ինչպիսին են այս վերափոխումները"
7,"00:00:30,981 --> 00:00:35,060","case of two dimensions, and how they relate to the idea of matrix vector multiplication.",Երկու հարթությունների դեպք եւ ինչպես են դրանք վերաբերում մատրիցային վեկտորի բազմապատկման գաղափարին:
8,"00:00:35,880 --> 00:00:39,137","In particular, I want to show you a way to think about matrix","Մասնավորապես, ես ուզում եմ ձեզ ցույց տալ մի ձեւ Մատրիցայի մասին"
9,"00:00:39,137 --> 00:00:42,080",vector multiplication that doesn't rely on memorization.,"Վեկտորի բազմապատկում, որը չի ապավինում անգիր:"
10,"00:00:43,160 --> 00:00:46,580","To start, let's just parse this term, linear transformation.","Սկսելու համար եկեք պարզապես վերլուծենք այս տերմինը, գծային վերափոխումը:"
11,"00:00:47,420 --> 00:00:49,880",Transformation is essentially a fancy word for function.,"Փոխակերպումը, ըստ էության, ֆանտաստիկ բառ է գործառույթի համար:"
