index,time_range,text,google_translate,claude_translation
1,"00:00:00,520 --> 00:00:04,019",Human existence is scary and confusing.,Մարդու գոյությունը սարսափելի է եւ շփոթեցնող:,Մարդկային գոյությունը վախեցնող և շփոթեցնող է։
2,"00:00:04,019 --> 00:00:09,600","A few hundred thousand years ago, we became conscious and found ourselves in a strange place.",Մի քանի հարյուր հազար տարի առաջ մենք գիտակից դարձանք եւ հայտնվեցինք տարօրինակ վայրում:,Մի քանի հարյուր հազար տարի առաջ մենք գիտակից դարձանք և հայտնվեցինք մի տարօրինակ վայրում։
3,"00:00:09,600 --> 00:00:14,820",It was filled with other beings. We could eat some; some could eat us.,Այն լցված էր այլ էակներով: Մենք կարող էինք ուտել մի քանիսը. Ոմանք կարող էին մեզ ուտել:,"Այն լի էր այլ էակներով։ Մենք կարող էինք ուտել նրանցից ոմանց, իսկ ոմանք կարող էին ուտել մեզ։"
4,"00:00:14,820 --> 00:00:19,500",There was liquid stuff we could drink; things we could use to make more things.,"Հեղուկ նյութեր կար, որ կարող էինք խմել; բաներ, որոնք մենք կարող էինք օգտագործել ավելի շատ բաներ անելու համար:","Translation into Armenian:

Կային հեղուկ նյութեր, որ կարող էինք խմել; բաներ, որոնցով կարող էինք ավելի շատ բաներ պատրաստել։

Note: In Armenian, the structure is slightly adjusted to sound more natural while maintaining the original meaning."
5,"00:00:19,500 --> 00:00:22,900",The daytime sky had a tiny yellow ball that warmed our skin.,"The երեկային երկինքը փոքրիկ դեղին գնդակ ուներ, որը տաքացրեց մեր մաշկը:","Ցերեկային երկինքը փոքրիկ դեղին գնդակ ուներ, որը տաքացնում էր մեր մաշկը։"
6,"00:00:22,900 --> 00:00:25,620",The night sky was filled with beautiful lights.,Գիշերային երկինքը լցվեց գեղեցիկ լույսերով:,Գիշերային երկինքը լի էր գեղեցիկ լույսերով։
7,"00:00:25,620 --> 00:00:28,100",This place was obviously made for us.,Այս վայրն ակնհայտորեն արվեց մեզ համար:,Այս տեղն ակնհայտորեն ստեղծված է մեզ համար։
8,"00:00:28,100 --> 00:00:29,940",Something was watching over us.,Ինչ-որ բան հետեւում էր մեզ:,Ինչ-որ բան հսկում էր մեզ։
9,"00:00:29,940 --> 00:00:35,020",We were home. This made everything much less scary and confusing.,Մենք տուն էինք: Սա ամեն ինչ շատ ավելի քիչ վախեցավ եւ շփոթեցնող:,Մենք տանն էինք: Սա ամեն ինչ շատ ավելի քիչ վախենալու և շփոթեցնող դարձրեց:
10,"00:00:35,020 --> 00:00:38,960","But the older we got, the more we learned about the world and ourselves.","Բայց ավելի հինացանք, այնքան ավելի շատ իմացանք աշխարհի եւ մեր մասին:","Բայց որքան մեծանում էինք, այնքան ավելի շատ էինք սովորում աշխարհի և մեր մասին։"
