index,time_range,text,google_translate,claude_translation
1,00:00 -> 00:04,Human existence is scary and confusing.,Մարդու գոյությունը սարսափելի է եւ շփոթեցնող:,Մարդկային գոյությունը վախեցնող է և շփոթեցնող:
2,00:04 -> 00:09,"A few hundred thousand years ago, we became conscious and found ourselves in a strange place.",Մի քանի հարյուր հազար տարի առաջ մենք գիտակից դարձանք եւ հայտնվեցինք տարօրինակ վայրում:,Մի քանի հարյուր հազար տարի առաջ մենք գիտակից դարձանք և հայտնվեցինք մի տարօրինակ վայրում։
3,00:09 -> 00:14,It was filled with other beings. We could eat some; some could eat us.,Այն լցված էր այլ էակներով: Մենք կարող էինք ուտել մի քանիսը. Ոմանք կարող էին մեզ ուտել:,"Այն լի էր այլ էակներով։ Մենք կարող էինք ուտել նրանցից ոմանց, իսկ ոմանք կարող էին ուտել մեզ։"
4,00:14 -> 00:19,There was liquid stuff we could drink; things we could use to make more things.,"Հեղուկ նյութեր կար, որ կարող էինք խմել; բաներ, որոնք մենք կարող էինք օգտագործել ավելի շատ բաներ անելու համար:","I'll translate this to Armenian:

Կար հեղուկ նյութ, որ կարող էինք խմել; բաներ, որոնք կարող էինք օգտագործել ավելի շատ բաներ պատրաստելու համար։

Note: The translation maintains the same meaning while adapting to Armenian grammar and structure."
5,00:19 -> 00:22,The daytime sky had a tiny yellow ball that warmed our skin.,"The երեկային երկինքը փոքրիկ դեղին գնդակ ուներ, որը տաքացրեց մեր մաշկը:","Ցերեկային երկինքը փոքրիկ դեղին գնդակ ուներ, որը ջերմացնում էր մեր մաշկը։"
6,00:22 -> 00:25,The night sky was filled with beautiful lights.,Գիշերային երկինքը լցվեց գեղեցիկ լույսերով:,Գիշերային երկինքը լի էր գեղեցիկ լույսերով։
7,00:25 -> 00:28,This place was obviously made for us.,Այս վայրն ակնհայտորեն արվեց մեզ համար:,Այս տեղը ակնհայտորեն մեզ համար է ստեղծված։
8,00:28 -> 00:29,Something was watching over us.,Ինչ-որ բան հետեւում էր մեզ:,Ինչ-որ բան հսկում էր մեզ վրա:
9,00:29 -> 00:35,We were home. This made everything much less scary and confusing.,Մենք տուն էինք: Սա ամեն ինչ շատ ավելի քիչ վախեցավ եւ շփոթեցնող:,Մենք տանն էինք: Սա ամեն ինչ շատ ավելի քիչ վախենալու և շփոթեցնող էր դարձնում:
10,00:35 -> 00:38,"But the older we got, the more we learned about the world and ourselves.","Բայց ավելի հինացանք, այնքան ավելի շատ իմացանք աշխարհի եւ մեր մասին:","Բայց որքան մեծացանք, այնքան ավելի շատ սովորեցինք աշխարհի և մեր մասին։"
11,00:38 -> 00:43,"We learned that the twinkling lights are not shining beautifully for us, they just are.","Տեղեկացանք, որ շողշողացող լույսերը գեղեցիկ չեն փայլում մեզ համար, նրանք պարզապես են:","Մենք սովորեցինք, որ առկայծող լույսերը մեզ համար գեղեցիկ չեն փայլում, դրանք պարզապես կան։"
12,00:43 -> 00:46,"We learned that we're not at the center of what we now call the universe,","Մենք իմացանք, որ մենք այն կենտրոնում չենք, թե ինչն ենք այժմ անվանում տիեզերք,","Մենք սովորեցինք, որ մենք չենք գտնվում այն բանի կենտրոնում, որը մենք այժմ անվանում ենք տիեզերք։"
13,00:46 -> 00:49,"and that it is much, much older than we thought.","Եվ որ այն շատ ավելի հին է, քան կարծում էինք:","և որ այն շատ, շատ ավելի հին է, քան մենք կարծում էինք:"
14,00:49 -> 00:52,"We learned that we're made of many little dead things,","Մենք իմացանք, որ մենք պատրաստված ենք շատ փոքր մեռած իրերից,","Մենք իմացանք, որ կազմված ենք բազմաթիվ փոքր մեռած բաներից,"
15,00:52 -> 00:55,"which make up bigger things that are not dead, for some reason,","որոնք կազմում են ավելի մեծ բաներ, որոնք ինչ-ինչ պատճառներով մեռած չեն,","որոնք կազմում են ավելի մեծ բաներ, որոնք, ինչ-որ պատճառով, մեռած չեն,"
16,00:55 -> 01:01,and that we're just another temporary stage in a history going back over a billion years.,"Եվ որ մենք պարզապես մեկ այլ ժամանակավոր փուլ ենք, ավելի քան մեկ միլիարդ տարի վերադառնալու պատմության մեջ:",և որ մենք պարզապես մեկ այլ ժամանակավոր փուլ ենք ավելի քան մեկ միլիարդ տարի առաջ սկսված պատմության մեջ։
17,01:01 -> 01:06,"We learned, in awe, that we live on a moist speck of dust moving around a medium-sized star","Մենք սովորեցինք, վախի մեջ, որ մենք ապրում ենք փոշու խոնավ բծերի վրա, որը շարժվում է միջին չափի աստղի շուրջը","Մենք զարմանքով իմացանք, որ ապրում ենք խոնավ փոշեհատիկի վրա, որը պտտվում է միջին չափի աստղի շուրջ:"
